Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Chipset,,Triple,Stand-by,Talk time,Features_1,Dual,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,NFC,Music play,Infrared port,Keyboard,Browser,SAR EU,SAR,Alert types
hp,HP iPAQ Glisten,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-glisten.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,,HSPA 7.2/0.384 Mbps,"2009, November. Released 2009, December",Discontinued,112.8 x 62.8 x 13.4 mm (4.44 x 2.47 x 0.53 in),132 g (4.66 oz),Mini-SIM,"AMOLED resistive touchscreen, 256K colors (65K effective colors)","2.5 inches, 19.4 cm2 (~27.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~160 ppi density)",Microsoft Windows Mobile 6.5 Professional,528 MHz ARM 11,Adreno 130,microSDHC (dedicated slot),"256MB RAM, 512MB ROM","3.15 MP, AF",,Yes,,,Yes,Yes,Wi-Fi 802.11b/g,"2.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,,Removable Li-Po battery,,Black,About 140 EUR,Qualcomm MSM7200,No,,,,,,,Pocket Office  Organizer Media player Voice memo Predictive text input,,,,,,,,,,,,,,,QWERTY,"WAP 2.0/xHTML, HTML",,0.59 W/kg (head)     1.08 W/kg (body),
hp,HP iPAQ Voice Messenger,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-voice-messenger.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,,HSPA 7.2/0.384 Mbps,"2008, October. Released 2009, March",Discontinued,114 x 50 x 13.6 mm (4.49 x 1.97 x 0.54 in),107 g (3.77 oz),Mini-SIM,"TFT, 65K colors","2.4 inches, 17.8 cm2 (~31.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Microsoft Windows Mobile 6.1 Standard,528 MHz ARM 11,Adreno 130,microSDHC (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",LED flash,Yes,,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,,Removable Li-Po 1260 mAh battery,,Blue,About 80 EUR,Qualcomm MSM7201A,No,,,,,,,Pocket Office  Media player Predictive text input Voice memo,,,,,,,,,,,,,,,QWERTY,"WAP 2.0/xHTML, HTML (PocketIE)",,0.64 W/kg (head)     1.01 W/kg (body),
hp,HP iPAQ Data Messenger,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq-data-messenger.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,,HSPA 7.2/2 Mbps,"2008, October. Released 2009, March",Discontinued,114 x 57 x 17.4 mm (4.49 x 2.24 x 0.69 in),160 g (5.64 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.81 inches, 24.5 cm2 (~37.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~142 ppi density)",Microsoft Windows Mobile 6.1 Professional,528 MHz ARM 11,Adreno 130,microSDHC (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",LED flash,Yes,,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,,Removable Li-Po 1140 mAh battery,,Blue,About 150 EUR,Qualcomm MSM7201A,No,,,,,,,Pocket Office  Media player Predictive text input Voice memo,,,,,,,,,,,,,,,QWERTY,"WAP 2.0/xHTML, HTML (PocketIE)",,0.71 W/kg (head)     1.04 W/kg (body),
hp,HP iPAQ 910c,https://fdn2.gsmarena.com/vv/bigpic/hp-910c.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA 7.2/0.384 Mbps,"2007, September. Released 2008, July",Discontinued,113 x 64 x 16 mm (4.45 x 2.52 x 0.63 in),146 g (5.15 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.46 inches, 18.7 cm2 (~25.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~163 ppi density)",Microsoft Windows Mobile 6.1 Professional,Marvell PXA270 416 MHz,,microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",,QCIF,,,Yes,No,Wi-Fi 802.11b/g,2.0,"Yes, with A-GPS",No,2.0,,Removable Li-Ion 1840 mAh battery,,Black,About 210 EUR,,No,,,,,,,Pocket Office  Media player Predictive text input Voice memo,,,,,,,,,,,,,,,QWERTY,"WAP 2.0/xHTML, HTML (PocketIE)",,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones"
hp,HP iPAQ 610c,https://fdn2.gsmarena.com/vv/bigpic/hp-ipaq600.gif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA 7.2/0.384 Mbps,"2007, September",Discontinued,117 x 60.3 x 17.5 mm (4.61 x 2.37 x 0.69 in),145 g (5.11 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm2 (~34.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Microsoft Windows Mobile 6 Professional,Marvell PXA270 520 MHz,,microSD (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",LED flash,QCIF,,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP","Yes, with A-GPS",No,2.0,,Removable Li-Po 1590 mAh battery,,Black,About 170 EUR,,Smart Touch navigation wheel 3-way thumb wheel,,Up to 250 h,Up to 4 h,,,,No,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo,,,,,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones"
hp,HP iPAQ 514,https://fdn2.gsmarena.com/vv/bigpic/hp-514.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2007, February",Discontinued,107 x 48.6 x 16.3 mm (4.21 x 1.91 x 0.64 in),102 g (3.60 oz),Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~24.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),Microsoft Windows Mobile 6.0 Standard,200 MHz ARM926EJ-S,,microSD (dedicated slot),"64MB RAM, 128MB ROM",1.3 MP,,Yes,,,Yes,No,Wi-Fi 802.11b/g,1.2,No,No,miniUSB,,Removable Li-Ion 1100 mAh battery,,Black,About 90 EUR,TI OMAP 850,No,,Up to 188 h,Up to 6 h 30 min,,,,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Predictive text input Voice memo,,,,Class 10,Class 10,,,,,,,,,,,"WAP 2.0/xHTML, HTML (PocketIE)",,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones"
hp,HP iPAQ rw6815,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6815.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, October",Discontinued,102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in),140 g (4.94 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.7 inches, 22.6 cm2 (~38.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,Intel PXA272 416 MHz,,miniSD,"64MB RAM, 128MB ROM",2 MP,LED flash,Yes,,,"Yes, with stereo speakers",No,Wi-Fi 802.11b,1.2,No,No,miniUSB,,Removable Li-Ion 1530 mAh battery,,Silver,About 150 EUR,,Handwriting recognition,,Up to 240 h,Up to 5 h 30 min,,,,No,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Voice memo,,,Class 10,Class 10,,,,,,,,,Yes,,"WAP 2.0/xHTML, HTML (PocketIE)",,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones"
hp,HP iPAQ rw6828,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, Q2",Discontinued,102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in),140 g (4.94 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.7 inches, 22.6 cm2 (~38.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,Intel PXA 272 416 MHz,,miniSD,"64MB RAM, 128MB ROM",2 MP,LED flash,Yes,,,"Yes, with stereo speakers",No,Wi-Fi 802.11b,1.2,No,FM radio,miniUSB,,Removable Li-Po 1530 mAh battery,,Silver,About 290 EUR,,Handwriting recognition,,Up to 240 h,Up to 5 h 30 min,,,,No,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Voice memo,,,Class 10,Class 10,,,,,,,,,Yes,,"WAP 2.0/xHTML, HTML (PocketIE)",,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones"
hp,HP iPAQ rw6818,https://fdn2.gsmarena.com/vv/bigpic/hp-rw6800.gif,GSM,GSM 900 / 1800 / 1900,,,,"2006, Q2",Discontinued,102 x 58 x 19.5 mm (4.02 x 2.28 x 0.77 in),140 g (4.94 oz),Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)","2.7 inches, 22.6 cm2 (~38.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",Microsoft Windows Mobile 5.0 PocketPC,Intel PXA 272 416 MHz,,miniSD,"64MB RAM, 128MB ROM",2 MP,LED flash,Yes,,,"Yes, with stereo speakers",No,No,1.2,No,FM radio,miniUSB,,Removable Li-Po 1530 mAh battery,,Silver,About 290 EUR,,Handwriting recognition,,Up to 240 h,Up to 5 h 30 min,,,,No,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Voice memo,,,Class 10,Class 10,,,,,,,,,Yes,,"WAP 2.0/xHTML, HTML (PocketIE)",,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones"
hp,HP iPAQ hw6915,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2006, February",Discontinued,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),179 g (6.31 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors",,"240 x 240 pixels, 3 inch, 1:1 ratio",Microsoft Windows Mobile 2005 PocketPC,Intel PXA 270 416 MHz,,miniSD,"64MB RAM, 45MB ROM",1.3 MP,LED flash,Yes,,,Yes,No,Wi-Fi 802.11b,1.2,Yes,No,Proprietary,,Removable Li-Ion 1200 mAh battery,,Silver,About 550 EUR,,No,,,,,,,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo,,,,Class 10,Class 10,,,,,,,,,Yes,QWERTY,HTML (PocketIE),,,Vibration; Polyphonic ringtones
hp,HP iPAQ hw6910,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6900.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2006, February",Discontinued,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),179 g (6.31 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors",,"240 x 240 pixels, 3 inch, 1:1 ratio",Microsoft Windows Mobile 2005 PocketPC,Intel PXA 270 416 MHz,,miniSD,"64MB RAM, 45MB ROM",,,,,,Yes,No,Wi-Fi 802.11b,1.2,Yes,No,Proprietary,,Removable Li-Ion 1200 mAh battery,,Silver,About 470 EUR,,No,,,,,,,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo,,,,Class 10,Class 10,,,,,,,,,Yes,QWERTY,HTML (PocketIE),,,Vibration; Polyphonic ringtones
hp,HP iPAQ hw6515,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6515.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2005, Q2",Discontinued,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),165 g (5.82 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.0 inches, 45 x 60 mm, 29.0 cm2 (~34.7% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~113 ppi density)",Microsoft Windows Mobile 2003 SE PocketPC Phone Edition,Intel PXA270 312 MHz,,SDIO/MMC + miniSD,"64MB RAM, 64MB ROM",1.3 MP,LED flash,Yes,,,Yes,No,No,1.2,Yes,No,Proprietary,,Removable Li-Ion 1200 mAh battery,,Silver,About 280 EUR,,No,,,,,,,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer,,,,Class 10,Class 10,,,,,,,,,Yes,QWERTY,HTML (PocketIE),,,Vibration; Polyphonic ringtones
hp,HP iPAQ hw6510,https://fdn2.gsmarena.com/vv/bigpic/hp-hw6510.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2005, Q2",Discontinued,118 x 71 x 18 mm (4.65 x 2.80 x 0.71 in),165 g (5.82 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.0 inches, 45 x 60 mm, 29.0 cm2 (~34.7% screen-to-body ratio)","240 x 240 pixels, 1:1 ratio (~113 ppi density)",Microsoft Windows Mobile 2003 SE PocketPC Phone Edition,Intel PXA270 312 MHz,,SDIO/MMC + miniSD,"64MB RAM, 64MB ROM",,,,,,Yes,No,No,1.2,Yes,No,Proprietary,,Removable Li-Ion 1200 mAh battery,,Silver,About 280 EUR,,No,,,,,,,Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer,,,,Class 10,Class 10,,,,,,,,,Yes,QWERTY,HTML (PocketIE),,,Vibration; Polyphonic ringtones
hp,HP iPAQ h6325,https://fdn2.gsmarena.com/vv/bigpic/hp-h6325.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2004, Q4",Discontinued,137.6 x 74.6 x 20.8 mm (5.42 x 2.94 x 0.82 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~37.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",Microsoft Windows Mobile 2003 PocketPC Phone Edition,ARM925T,,"SD, up to 1 GB","64MB RAM, 64MB ROM",VGA,,No,,,Yes,No,Wi-Fi 802.11b,1.1,No,No,Proprietary,,Removable Li-Ion 1800 mAh battery,,Silver,About 180 EUR,TI OMAP 1510,No,,,,,,,Pocket Office  Organizer,,,,Class 10,No,,,,,,,,,Yes,,HTML (PocketIE),,,"Vibration; Polyphonic, WMA, WAV ringtones"
hp,HP iPAQ h6320,https://fdn2.gsmarena.com/vv/bigpic/hp-h6320.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2004, Q4",Discontinued,137.6 x 74.6 x 20.8 mm (5.42 x 2.94 x 0.82 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~37.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",Microsoft Windows Mobile 2003 PocketPC Phone Edition,ARM925T,,"SD, up to 1 GB","64MB RAM, 64MB ROM",,,,,,Yes,No,Wi-Fi 802.11b,1.1,No,No,Proprietary,,Removable Li-Ion 1800 mAh battery,,Silver,About 190 EUR,TI OMAP 1510,No,,,,,,,Pocket Office  Organizer,,,,Class 10,No,,,,,,,,,Yes,,HTML (PocketIE),,,Vibration; Polyphonic ringtones
hp,HP iPAQ h6315,https://fdn2.gsmarena.com/vv/bigpic/hp-h6315.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2004, Q4",Discontinued,119 x 75 x 18.7 mm (4.69 x 2.95 x 0.74 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~42.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",Microsoft Windows Mobile 2003 PocketPC Phone Edition,ARM925T,,"SD, up to 1 GB","64MB RAM, 64MB ROM",VGA,,No,,,Yes,No,Wi-Fi 802.11b,1.1,No,No,Proprietary,,Removable Li-Ion 1800 mAh battery,,Silver,,TI OMAP 1510,No,,,,,,,Pocket Office  Organizer,,,,Yes,No,,,,,,,,,Yes,QWERTY,HTML (PocketIE),,,"Vibration; Polyphonic, MP3 ringtones"
hp,HP iPAQ h6310,https://fdn2.gsmarena.com/vv/bigpic/hp-h6310.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2004, Q4",Discontinued,119 x 75 x 18.7 mm (4.69 x 2.95 x 0.74 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","3.5 inches, 53 x 71 mm, 37.9 cm2 (~42.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~114 ppi density)",Microsoft Windows Mobile 2003 PocketPC Phone Edition,ARM925T,,"SD, up to 1 GB","64MB RAM, 64MB ROM",,,,,,Yes,No,Wi-Fi 802.11b,1.1,No,No,Proprietary,,Removable Li-Ion 1800 mAh battery,,Silver,,TI OMAP 1510,No,,,,,,,Pocket Office  Organizer,,,,Yes,No,,,,,,,,,Yes,QWERTY,HTML (PocketIE),,,"Vibration; Polyphonic, MP3 ringtones"
